2AGPEAT160	2agpe160|amp|atp|h|hdca|pe160|ppi
CYTK1	adp|atp|cdp|cmp
CYTK2	adp|atp|dcdp|dcmp
Clt	cl
Cuabc	adp|atp|cu2|h|h2o|pi
Cut1	adp|atp|cu2|h|h2o|pi
DADA	dad_2|din|h|h2o|nh4
DADK	adp|atp|dadp|damp
DAGK160	12dgr160|adp|atp|pa160
DALAOX	ala_D|h2o|h2o2|nh4|o2|pyr
DALAt2r	ala_D|h
DAPDC	26dap_M|co2|h|lys_L
DAPE	26dap_LL|26dap_M
DASYN160	cdpdhdecg|ctp|pa160|ppi
DASYN160190	cdpc16c19g|ctp|pa160190|ppi
DASYN190190	cdpc19c19g|ctp|pa190190|ppi
DB4PS	db4p|for|h|ru5p_D
DBTSr	adp|atp|co2|dann|dtbt|h|pi
DCPDP	decd_tb|decdp_tb|h|h2o|pi
DCPDPP	decdpr_tb|decdr_tb|h|h2o|pi
DCPDPP2	decda_tb|decdpa_tb|h|h2o|pi
DCPDPS	decdp_tb|frdp|ipdp|ppi
DCPE	decda_tb|decdr_tb
DCPT	decd_tb|decdpr_tb|ppi|prpp
DCPT2	arpp|decd_tb|decdpa_tb|ppi
DCTPD	dctp|dutp|h|h2o|nh4
DCTPD2	ctp|h|h2o|nh4|utp
DCYTD	dcyt|duri|h|h2o|nh4
DDPA	2dda7p|e4p|h|h2o|pep|pi
DESAT16	h|h2o|hdcoa|nadp|nadph|o2|pmtcoa
DESAT18	h|h2o|nadp|nadph|o2|odecoa|stcoa
DGC3D	2dglcn|3ddgc|h|nad|nadh
DGK1	adp|atp|dgdp|dgmp
DHAD1	23dhmb|3mob|h2o
DHAD2	23dhmp|3mop|h2o
DHDPRy	23dhdp|h|nadp|nadph|thdp
DHDPS	23dhdp|aspsa|h|h2o|pyr
DHFR	dhf|h|nadp|nadph|thf
DHFS	adp|atp|dhf|dhpt|glu_L|h|pi
DHNAHT	2dmmq6|co2|dhna|h|hexdp|ppi
DHNAOT	2dmmq8|co2|dhna|h|octdp|ppi
DHNPA2	6hmhpt|dhnpt|gcald
DHORD2	dhor_S|orot|q8|q8h2
DHORD3	dhor_S|mql6|mqn6|orot
DHORD5	dhor_S|mql8|mqn8|orot
DHORTS	cbasp|dhor_S|h|h2o
DHPPDADHPPDA2	25dhpp25drapp|5apru|h|h2o|nh4
DHPS2FOLD3	4abz|6hmhptpp|dhpt|ppi
DHQD	3dhq|3dhsk|h2o
DHQS	2dda7p|3dhq|h|pi
DMATT	dmpp|grdp|ipdp|ppi
DMPPS	dmpp|h|h2mb4p|h2o|nad|nadh
DNMPPA	dhnpt|dhpmp|h|h2o|pi
DNTPPA	ahdt|dhpmp|h2o|ppi
DPCOAK	adp|atp|coa|dpcoa
DPPS	decdp|frdp|ipdp|ppi
DPR	2dhp|h|nadp|nadph|pant_R
DRPA	2dr5p|acald|g3p
DSERt2r	h|ser_D
DTMPK	adp|atp|dtdp|dtmp
DURIK1	adp|atp|dump|duri
DURIPP	2dr1p|duri|h|pi|ura
DUTPDP	dump|dutp|h2o|ppi
DXPRIi	2me4p|dxyl5p|h|nadp|nadph
DXPS	co2|dxyl5p|g3p|h|pyr
E4PD	4per|e4p|h|h2o|nad|nadh
ECHH_0	fdox|fdred|h|h2
ECOAH1	2mb2ecoa|3h2mbcoa|h2o
ECOAH2	3hibutcoa|h2o|macrycoa
EL1AMER	ACP|arachACP|behenicACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL1KMER1	ACP|c19C40oylACP|c19behenACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL1KMER2	ACP|c19C42oylACP|c19behenACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL1MMER1	ACP|c19C38oylACP|c19behenACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL2AMER	ACP|c21C38oylACP|c21lignocerACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL2KMER1	ACP|c19c39C42oylACP|c19c39C56oylACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL2KMER2	ACP|c19c41C44oylACP|c19c41C56oylACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL2MMER1	ACP|c19c37C40oylACP|c19c37C56oylACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL3AMER	ACP|c21c37C40oylACP|c21c37C52oylACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL3KMER1	ACP|c19c39C42oylACP|c19c39C58oylACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
EL3MMER1	ACP|c19c37C40oylACP|c19c37C58oylACP|co2|h|h2o|malACP|nad|nadh|nadp|nadph
ENO	2pg|h2o|pep
ENTCS	23dhba|amp|enter|h|seramp
ETHAt	etha
FACOAE140	coa|h|h2o|tdcoa|ttdca
FACOAE160	coa|h|h2o|hdca|pmtcoa
FACOAE180	coa|h|h2o|ocdca|stcoa
FACOAL140	amp|atp|coa|h|ppi|tdcoa|ttdca
FACOAL160	amp|atp|coa|h|hdca|pmtcoa|ppi
FACOAL161	amp|atp|coa|h|hdcea|hdcoa|ppi
FACOAL180	amp|atp|coa|h|ocdca|ppi|stcoa
FACOAL181	amp|atp|coa|h|ocdcea|odecoa|ppi
FACOAL200	amp|arach|arachcoa|atp|coa|ppi
FACOAL80	amp|atp|coa|h|occoa|octa|ppi
FACOALPHDCA	amp|atp|coa|h|phdca|phdcacoa|ppi
FACOALPREPH	amp|atp|coa|h|ppi|prephth|prephthcoa
FAH4	h|h2o|homtta|nadp|nadph|o2|omtta
FAMPL1	ACP|amero1ACP|amero1AMP|amp
FAMPL10	ACP|amp|mmero3ACP|mmero3AMP
FAMPL2	ACP|amero3ACP|amero3AMP|amp
FAMPL3	ACP|amp|cmmero1ACP|cmmero1AMP
FAMPL4	ACP|amp|tmmero1ACP|tmmero1AMP
FAMPL5	ACP|amp|kmero3ACP|kmero3AMP
FAMPL6	ACP|amp|ckmero1ACP|ckmero1AMP
FAMPL7	ACP|amp|tkmero1ACP|tkmero1AMP
FAMPL8	ACP|amp|kmero2ACP|kmero2AMP
FAMPL9	ACP|amp|mmero2ACP|mmero2AMP
FAO1	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ppi|ttdca
FAO10	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ocdcea|ppi
FAO11	accoa|amp|atp|coa|fad|fadh2|h|h2o|hdcea|nad|nadh|ppi
FAO2	accoa|amp|atp|coa|fad|fadh2|h|h2o|hdca|nad|nadh|ppi
FAO3	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ocdca|ppi
FAO4	accoa|amp|atp|coa|fad|fadh2|h|h2o|hpdca|nad|nadh|ppcoa|ppi
FAS100	co2|coa|dca|h|h2o|malcoa|nadp|nadph|octa
FAS120	co2|coa|dca|ddca|h|h2o|malcoa|nadp|nadph
FAS140	co2|coa|ddca|h|h2o|malcoa|nadp|nadph|ttdca
FAS160	co2|coa|h|h2o|hdca|malcoa|nadp|nadph|ttdca
FAS161	co2|coa|h|h2o|hdcea|malcoa|nadp|nadph|o2|ttdca
FAS180	co2|coa|h|h2o|hdca|malcoa|nadp|nadph|ocdca
FAS181	co2|coa|h|h2o|hdca|malcoa|nadp|nadph|o2|ocdcea
FAS200	arach|co2|coa|h|h2o|malcoa|nadp|nadph|ocdca
FAS240_L	co2|coa|h|h2o|malcoa|nadp|nadph|ocdca|ttc
FAS260	co2|coa|h|h2o|hexc|malcoa|nadp|nadph|ttc
FAS80_L	accoa|co2|coa|h|h2o|malcoa|nadp|nadph|octa
FASPHDCA	4hbzACP|ACP|co2|h|h2o|malACP|nadp|nadph|phdcaACP
FASm1601	co2|coa|h|h2o|hdca|m1ocdca|mmcoa_S|nadp|nadph
FASm180	co2|coa|h|h2o|malcoa|mmcoa_S|mocdca|nadp|nadph|octa
FASm1801	co2|coa|dmarach|h|h2o|m1ocdca|mmcoa_S|nadp|nadph
FASm2001	co2|coa|dmarach|h|h2o|mmcoa_S|nadp|nadph|tmbhn
FASm2002	co2|coa|h|h2o|marach|mmcoa_S|nadp|nadph|ocdca
FASm220	arach|co2|coa|h|h2o|mbhn|mmcoa_S|nadp|nadph
FASm2201	co2|coa|h|h2o|mmcoa_S|nadp|nadph|tamlgnc|tmbhn
FASm2202	co2|coa|dmbhn|h|h2o|marach|mmcoa_S|nadp|nadph
FASm240	co2|coa|dmlgnc|h|h2o|mbhn|mmcoa_S|nadp|nadph
FASm2401	co2|coa|h|h2o|mmcoa_S|nadp|nadph|pmhexc|tamlgnc
FASm2402	co2|coa|dmbhn|h|h2o|mmcoa_S|nadp|nadph|tmlgnc
FASm260	co2|coa|dmlgnc|h|h2o|mmcoa_S|nadp|nadph|tmhexc
FASm2601	co2|coa|h|h2o|hmocta|mmcoa_S|nadp|nadph|pmhexc
FASm2602	co2|coa|h|h2o|mmcoa_S|nadp|nadph|tamhexc|tmlgnc
FASm280	co2|coa|h|h2o|mmcoa_S|nadp|nadph|tamocta|tmhexc
FASm2801	co2|coa|h|h2o|hmocta|hpmtria|mmcoa_S|nadp|nadph
FASm2802	co2|coa|h|h2o|mmcoa_S|nadp|nadph|pmocta|tamhexc
FASm300	co2|coa|h|h2o|hmtria|mmcoa_S|nadp|nadph|pmocta
FASm3001	co2|coa|h|h2o|hpmtria|mmcoa_S|nadp|nadph|omdtria
FASm320	co2|coa|h|h2o|hmtria|hpmdtria|mmcoa_S|nadp|nadph
FASm340	co2|coa|h|h2o|hpmdtria|mmcoa_S|nadp|nadph|omtta
FBA	dhap|fdp|g3p
FBP	f6p|fdp|h|h2o|pi
FCLPA	dhap|fc1p|lald_L
FCLT	fe2|h|pheme|ppp9
FCLT2	fmcbtt|h|mcbtt|pheme|ppp9
FCOAH2	coa|for|forcoa|h|h2o
FDH	co2|for|nad|nadh
FE2abc	adp|atp|fe2|h|h2o|pi
FE3Ri	fad|fadh2|fe2|fe3|h
FE3abc	adp|atp|fe3|h|h2o|pi
FETRANS	fe2|fmcbtt|mcbtt
FHL	co2|for|h|h2
FMETTRS	10fthf|fmettrna|h|mettrna|thf
FMNAT	atp|fad|fmn|ppi
FOLR2	dhf|fol|h|nadp|nadph
FOMETR	5fthf|h|h2o|methf
FORMCOAL	amp|atp|coa|for|forcoa|h|ppi
FRD2	fum|mql8|mqn8|succ
FRD3	2dmmq8|2dmmql8|fum|succ
FRD5	fum|mql6|mqn6|succ
FRDO2r	adfdOX|adfdRD|nadp|nadph
FRDO3r	adfdOX|adfdRD|nad|nadh
FRDOr	fdxox|fdxrd|h|nadp|nadph
FRDSUCD1i	fad|fadh2|fum|succ
FRRPPDIMAS	frrppdima|gdp|gdpfuc|rrppdima
FTHFCL	5fthf|adp|atp|methf|pi
FTHFD	10fthf|for|h|h2o|thf
FTHFL	10fthf|adp|atp|for|pi|thf
FUM	fum|h2o|mal_L
FUMt2r	fum|h
G16MTM1	PIM1|gdp|gdpmann|ptd1ino160190
G16MTM10	PIM5|PIM6|gdp|gdpmann
G16MTM2	Ac1PIM1|Ac1PIM2|gdp|gdpmann
G16MTM4	Ac1PIM2|Ac1PIM3|decd_tb|decdman1p_tb
G16MTM5	Ac1PIM3|Ac1PIM4|decd_tb|decdman1p_tb
G16MTM6	PIM1|PIM2|gdp|gdpmann
G16MTM7	PIM2|PIM3|gdp|gdpmann
G16MTM8	PIM3|PIM4|gdp|gdpmann
G16MTM9	PIM4|PIM5|gdp|gdpmann
G1PACT	accoa|acgam1p|coa|gam1p|h
G1PTT	dtdpglu|dttp|g1p|ppi
G1SATi	5aop|glu1sa
G3PAT160	1hdecg3p|ACP|glyc3p|palmACP
G3PAT190	1msg3p|ACP|glyc3p|mstrACP
G3PD1	dhap|glyc3p|h|nad|nadh
G5SADs	1pyr5c|glu5sa|h|h2o
G5SD	glu5p|glu5sa|nadp|nadph|pi
G5SD2	glu5p|glu5sa|nad|nadh|pi
G6PDH2	6pgl|g6p|h|nadp|nadph
GALFT	galfragund|h|h2o|ragund|udp|udpgalfur
GALKr	adp|atp|gal|gal1p
GALT	gal1p|ppi|udpgal|utp
GALUi	g1p|ppi|udpg|utp
GALt2	gal|h
GAPD	13dpg|g3p|nad|nadh|pi
GARFT	10fthf|fgam|gar|h|thf
GCALDt	gcald
GCC2	alpam|dhlam|mlthf|nh4|thf
GCCa	alpro|co2|gly|h|lpro
GCCb	alpro|dhlpro|mlthf|nh4|thf
GCCc	dhlpro|h|lpro|nad|nadh
GF6PTAr	f6p|gam6p|gln_L|glu_L
GFUCS	gdpddman|gdpfuc|h|nadp|nadph
GGLUCT2	5oxpro|ala_L|gluala
GHMT2	gly|h2o|mlthf|ser_L|thf
GK1	adp|atp|gdp|gmp
GLCP	g1p|glycogen|glycogenb|h|pi
GLCS1	adp|adpglc|glycogen|glycogenb
GLCabc	adp|atp|glc_D|h|h2o|pi
GLGC	adpglc|atp|g1p|ppi
GLNS	adp|atp|gln_L|glu_L|h|nh4|pi
GLNSP1	adp|atp|h|nh4|pi|uaaAgla|uaaAgtla
GLNSP2	adp|atp|h|nh4|pi|uaaGgla|uaaGgtla
GLNSP3	adp|atp|h|nh4|pi|uaagmda|uaagtmda
GLU5K	adp|atp|glu5p|glu_L|h
GLUCYS	adp|atp|cys_L|glu_L|glucys|h|pi
GLUDC	4abut|co2|glu_L|h
GLUDx	akg|glu_L|h|h2o|nad|nadh|nh4
GLUPRT	gln_L|glu_L|h2o|ppi|pram|prpp
GLUR	glu_D|glu_L
GLUSy	akg|gln_L|glu_L|h|nadp|nadph
GLUTRR	glu1sa|glutrna|h|nadp|nadph|trnaglu
