 or NDC	co2|h|orn-L|ptrc
GCALDD	gcald|glyclt|h|h2o|nad|nadh
GF6PTA	f6p|gam6p|gln-L|glu-L
GGLUGABDH	ggluaba|ggluabt|h|h2o|nadp|nadph
GGLUGABH	4abut|ggluabt|glu-L|h2o
GGLUPTO	ggluaba|ggluptrc|h2o|h2o2|nh4|o2
GGLUPTS	adp|atp|ggluptrc|glu-L|h|pi|ptrc
GGTT	ggdp|ipdp|pendp|ppi
GHMT	gly|h2o|mlthf|ser-L|thf
GK1	adp|atp|gdp|gmp
GLCGSD	glc-D|glycogen|h2o
GLCP	g1p|glycogen|pi
GLCS1	adp|adpglc|glycogen|h
GLCURE	udpgalur|udpglcur
GLGC	adpglc|atp|g1p|h|ppi
GLNS	adp|atp|gln-L|glu-L|h|nh4|pi
GLNTRS	amp|atp|gln-L|glntrna|ppi|trnagln
GLNt2	gln-L|h
GLU5K	adp|atp|glu-L|glu5p
GLUCYSL	adp|atp|cys-L|glu-L|glucys|h|pi
GLUDx	akg|glu-L|h|h2o|nad|nadh|nh4
GLUN	gln-L|glu-L|h2o|nh4
GLUPRT	gln-L|glu-L|h2o|ppi|pram|prpp
GLUR	glu-D|glu-L
GLUSy	akg|gln-L|glu-L|h|nadp|nadph
GLUTRR	glu1sa|glutrna|h|nadp|nadph|trnaglu
GLUTRS	amp|atp|glu-L|glutrna|ppi|trnaglu
GLUt2	glu-L|h
GLUt4i	glu-L|na1
GLYAT	2aobut|accoa|coa|gly
GLYCKb	2pg|adp|atp|glyc-R|h
GLYCL	co2|gly|mlthf|nad|nadh|nh4|thf
GLYCLTDxr	glx|glyclt|h|nad|nadh
GLYCLTt2r	glyclt|h
GLYCRt2	glyc-R|h
GLYD	glyc-R|h|hpyr|nad|nadh
GLYK	adp|atp|glyc|glyc3p|h
GLYOX	gthrd|h|h2o|lac-D|lgt-S
GLYTRS	amp|atp|gly|glytrna|ppi|trnagly
GLYt4	gly|na1
GMHEPAT	adphep-D,D|atp|gmh1p|h|ppi
GMHEPK	adp|atp|gmh17bp|gmh7p|h
GMHEPPA	gmh17bp|gmh1p|h2o|pi
