R_2PGLYCtg	M_2pglyc_c|M_2pglyc_g
R_PPCKr	M_adp_c|M_atp_c|M_co2_c|M_oaa_c|M_pep_c
R_PPDKh	M_amp_h|M_atp_h|M_h_h|M_pep_h|M_pi_h|M_ppi_h|M_pyr_h
R_PPIth	M_ppi_c|M_ppi_h
R_PPM	M_r1p_c|M_r5p_c
R_PPMh	M_r1p_h|M_r5p_h
R_PRUK	M_adp_h|M_atp_h|M_h_h|M_rb15bp_h|M_ru5p_D_h
R_PSI	M_fdxox_u|M_fdxrd_u|M_pccu1p_u|M_pccu2p_u|M_photon_u
R_PSII	M_h2o_u|M_o2_u|M_photon_u|M_pq_u|M_pqh2_u
R_PTArh	M_accoa_h|M_actp_h|M_coa_h|M_pi_h
R_PTArm	M_accoa_m|M_actp_m|M_coa_m|M_pi_m
R_PYK	M_adp_c|M_atp_c|M_h_c|M_pep_c|M_pyr_c
R_PYKf	M_adp_f|M_atp_f|M_h_f|M_pep_f|M_pyr_f
R_PYRShi	M_accoa_h|M_co2_h|M_coa_h|M_fdxox_h|M_fdxrd_h|M_h_h|M_pyr_h
R_PYRtf	M_pyr_c|M_pyr_f
R_PYRth	M_pyr_c|M_pyr_h
R_PYRtm	M_pyr_c|M_pyr_m
R_R5Pth	M_r5p_c|M_r5p_h
R_RBCh	M_2pglyc_h|M_3pg_h|M_h_h|M_o2_h|M_rb15bp_h
R_RBKr	M_adp_c|M_atp_c|M_h_c|M_r5p_c|M_rib_D_c
R_RBPCh	M_3pg_h|M_co2_h|M_h2o_h|M_h_h|M_rb15bp_h
R_RPDPK	M_amp_c|M_atp_c|M_h_c|M_prpp_c|M_r5p_c
R_RPEh	M_ru5p_D_h|M_xu5p_D_h
R_RPIh	M_r5p_h|M_ru5p_D_h
R_SBP	M_h2o_h|M_pi_h|M_s17bp_h|M_s7p_h
R_STARCH300DEGR	M_g1p_h|M_glc_D_h|M_h2o_h|M_pi_h|M_starch300_h
R_STARCH300DEGR2	M_g1p_h|M_glc_D_h|M_h2o_h|M_pi_h|M_starch300_h
R_STARCH300S	M_adp_h|M_adpglc_h|M_h2o_h|M_h_h|M_starch300_h
R_SUCCtg	M_succ_c|M_succ_g
R_SUCDH(q8)m	M_fum_m|M_q8_m|M_q8h2_m|M_succ_m
R_SUCDHh	M_fad_h|M_fadh2_h|M_fum_h|M_succ_h
R_SUCDHmr	M_fad_m|M_fadh2_m|M_fum_m|M_succ_m
R_SUCFUMthr	M_fum_c|M_fum_h|M_succ_c|M_succ_h
R_SUCFUMtmr	M_fum_c|M_fum_m|M_succ_c|M_succ_m
R_SUCL(gdp)m	M_coa_m|M_gdp_m|M_gtp_m|M_pi_m|M_succ_m|M_succoa_m
R_SUCLm	M_adp_m|M_atp_m|M_coa_m|M_pi_m|M_succ_m|M_succoa_m
R_TAh	M_e4p_h|M_f6p_h|M_g3p_h|M_s7p_h
R_TKT1h	M_g3p_h|M_r5p_h|M_s7p_h|M_xu5p_D_h
R_TKT2h	M_e4p_h|M_f6p_h|M_g3p_h|M_xu5p_D_h
R_TPIh	M_dhap_h|M_g3p_h
