1.1.1.261-RXN.c	DIHYDROXY-ACETONE-PHOSPHATE|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON|SN-GLYCEROL-1-PHOSPHATE
1.1.1.262-RXN.c	2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE|4-PHOSPHONOOXY-THREONINE|NAD|NADH|PROTON
1.1.1.263-RXN.c	15-ANHYDRO-D-FRUCTOSE|15-ANHYDRO-D-GLUCITOL|NADP|NADPH|PROTON
1.1.1.264-RXN.c	5-DEHYDROGLUCONATE|L-IDONATE|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.265-RXN.c	CPD-7031|CPD-7032|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.266-RXN.c	DTDP-D-FUCOSE|DTDP-DEOH-DEOXY-GLUCOSE|NADP|NADPH|PROTON
1.1.1.268-RXN.c	2-OXOPROPYL-COM|2-R-HYDROXYPROPYL-COM|NAD|NADH|PROTON
1.1.1.269-RXN.c	2-OXOPROPYL-COM|2-S-HYDROXYPROPYL-COM|NAD|NADH|PROTON
1.1.1.270-RXN.c	4-ALPHA-METHYL-5-ALPHA|4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON|NADP|NADPH|PROTON
1.1.1.270-RXN.r	4-ALPHA-METHYL-5-ALPHA|4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON|NADP|NADPH|PROTON
1.1.1.271-RXN.c	CPD-13118|GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE|NADP|NADPH|PROTON
1.1.1.272-RXN.c	2-Oxo-carboxylates|NADP|NADPH|PROTON
1.1.1.273-RXN.c	10-DEOXYSARPAGINE|NADP|NADPH|PROTON|VELLOSIMINE
1.1.1.274-RXN.c	25-DIDEHYDRO-D-GLUCONATE|CPD-377|NADP|NADPH|PROTON
1.1.1.277-RXN.c	CPD-5961|CPD-5962|NADP|NADPH|PROTON
1.1.1.278-RXN.c	3-BETA-HYDROXY-5-ALPHA-PREGNANE-20-ONE|CPD-293|NADP|NADPH|PROTON
1.1.1.283-RXN.c	LACTALD|METHYL-GLYOXAL|NADP|NADPH|PROTON
1.1.1.285-RXN.c	CPD-7227|CPD-7228|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.288-RXN.c	CPD-692|CPD-7279|NAD|NADH|PROTON
1.1.1.289-RXN.c	NADP|NADPH|PROTON|SORBITOL
1.1.1.291-RXN.c	CPD-9437|CPD-9438|NAD|NADH|PROTON
1.1.1.292-RXN.c	15-ANHYDRO-D-FRUCTOSE|CPD-9446|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.34-RXN.c	3-HYDROXY-3-METHYL-GLUTARYL-COA|CO-A|MEVALONATE|NADP|NADPH|PROTON
