3M2OBLOXRD	2mpdhl|3mob|co2|h|lpam
HSK	adp|atp|h|hom-L|phom
HSTPT	akg|glu-L|hisp|imacp
HXPRT	hxan|imp|ppi|prpp
ICDHyr	akg|co2|icit|nadp|nadph
ICHORS	chor|ichor
IG3PS	aicar|eig3p|gln-L|glu-L|h|prlp
IGPDH	eig3p|h2o|imacp
IGPS	2cpr5p|3ig3p|co2|h|h2o
ILETA	3mop|akg|glu-L|ile-L
ILETRS	amp|atp|ile-L|iletrna|ppi|trnaile
ILEabc	adp|atp|h|h2o|ile-L|pi
ILEt2r	h|ile-L
IMPC	fprica|h2o|imp
IMPD	h|h2o|imp|nad|nadh|xmp
INDPYRD	co2|h|id3acald|indpyr
IPDDI	dmpp|ipdp
IPMD	3c2hmp|3c4mop|h|nad|nadh
IPPMIa	2ippm|3c2hmp|h2o
IPPMIb	2ippm|3c3hmp|h2o
IPPS	3c3hmp|3mob|accoa|coa|h|h2o
IZPN	4izp|forglu|h|h2o
KARA1i	23dhmb|alac-S|h|nadp|nadph
KARA2i	23dhmp|2ahbut|h|nadp|nadph
KAS1	co2|coa|fa1|h|h2o|ibcoa|malcoa|nadp|nadph
KAS10	2mbcoa|co2|coa|fa10|h|h2o|malcoa|nadp|nadph
KAS11	co2|coa|fa11|h|h2o|ivcoa|malcoa|nadp|nadph
KAS12	2mbcoa|co2|coa|fa12|h|h2o|malcoa|nadp|nadph
KAS13	accoa|co2|coa|h|h2o|malcoa|nadp|nadph|ocdca
KAS14	ACP|acACP|actACP|co2|h|malACP
KAS15	accoa|actACP|co2|coa|h|malACP
KAS16	3hmrsACP|ACP|co2|ddcaACP|h|malACP|nadp|nadph
KAS17	accoa|co2|coa|h|h2o|malcoa|nadp|nadph|ocdcea
KAS19SA	2mbcoa|co2|coa|fa19a|h|h2o|malcoa|nadp|nadph
KAS2	accoa|co2|coa|h|h2o|malcoa|nadp|nadph|ttdca
KAS20SA	accoa|co2|coa|fa20n|h|h2o|malcoa|nadp|nadph
KAS3	co2|coa|fa3|h|h2o|ivcoa|malcoa|nadp|nadph
KAS4	2mbcoa|co2|coa|fa4|h|h2o|malcoa|nadp|nadph
KAS5	co2|coa|fa5|h|h2o|ibcoa|malcoa|nadp|nadph
KAS6	co2|coa|fa6|h|h2o|ibcoa|malcoa|nadp|nadph
KAS7	accoa|co2|coa|h|h2o|hdcea|malcoa|nadp|nadph
KAS8	accoa|co2|coa|h|h2o|hdca|malcoa|nadp|nadph
KAS9	co2|coa|fa9|h|h2o|ivcoa|malcoa|nadp|nadph
Kabc	adp|atp|h|h2o|k|pi
Kt2r	h|k
L-LACt2r	h|lac-L
LACpts	Lac6p|lcts|pep|pyr
LDH_D	h|lac-D|nad|nadh|pyr
LDH_L	h|lac-L|nad|nadh|pyr
LEUTA	4mop|akg|glu-L|leu-L
LEUabc	adp|atp|h|h2o|leu-L|pi
LEUt2r	h|leu-L
LYSDC	15dap|co2|h|lys-L
LYSTRS	amp|atp|lys-L|lystrna|ppi|trnalys
LYSabc	adp|atp|h|h2o|lys-L|pi
LYSt2r	h|lys-L
M1PD	f6p|h|mnl1p|nad|nadh
MACPD	acACP|co2|h|malACP
MALT	glc-D|h2o|malt
MALTAT	accoa|acmalt|coa|malt
MALTabc	adp|atp|h|h2o|malt|pi
MAN6PI	f6p|man6p
MANpts	man|man6p|pep|pyr
MCOATA	ACP|coa|malACP|malcoa
MDH	h|mal-L|nad|nadh|oaa
MDH2	mal-L|oaa|q8|q8h2
MDH3	mal-L|mql8|mqn8|oaa
MDRPD	5mdru1p|dkmpp|h2o
ME1_rev	co2|mal-L|nad|nadh|pyr
MEPCT	2me4p|4c2me|ctp|h|ppi
METAT	amet|atp|h2o|met-L|pi|ppi
METS	5mthf|h|hcys-L|met-L|thf
METTRS	amp|atp|met-L|mettrna|ppi|trnamet
METabc	adp|atp|h|h2o|met-L|pi
MEVK1	5pmev|adp|atp|h|mev-R
MEVK2	5pmev|cdp|ctp|h|mev-R
MEVK3	5pmev|gdp|gtp|h|mev-R
MEVK4	5pmev|h|mev-R|udp|utp
MG2abc	adp|atp|h|h2o|mg2|pi
MHPGLUT	hcys-L|hpglu|met-L|mhpglu
MI1PP	h2o|inost|mi1p-D|pi
MNLpts	mnl|mnl1p|pep|pyr
MNabc	adp|atp|h|h2o|mn2|pi
MNt2	h|mn2
MOBDabc	adp|atp|h|h2o|mobd|pi
MOHMT	2dhp|3mob|h2o|mlthf|thf
MTAN	5mta|5mtr|ade|h2o
MTHFC	10fthf|h|h2o|methf
MTHFD	methf|mlthf|nadp|nadph
MTHFR2	5mthf|h|mlthf|nad|nadh
MTRI	5mdr1p|5mdru1p
MTRK	5mdr1p|5mtr|adp|atp|h
NACUP	nac
NADH10	h|mql8|mqn8|nad|nadh
NADH5	h|nad|nadh|q8|q8h2
NADH6	h|nad|nadh|q8|q8h2
NADH7	h|mql8|mqn8|nad|nadh
NADH8	2dmmq8|2dmmql8|h|nad|nadh
NADH9	2dmmq8|2dmmql8|h|nad|nadh
NADK	adp|atp|h|nad|nadp
NADS1	amp|atp|dnad|h|nad|nh4|ppi
NALN6	2a3pp|3pop|n6all26d|nal2a6o
NAPRTr	h|nac|nicrnt|ppi|prpp
NAt3	h|na1
NAt3_1	h|na1
NAt3_1.5	h|na1
NAt3_2	h|na1
NBAH	bgly|bz|gly|h2o
NCAMUP	ncam
NDPK1	adp|atp|gdp|gtp
NDPK2	adp|atp|udp|utp
NDPK3	adp|atp|cdp|ctp
NDPK4	adp|atp|dtdp|dttp
NDPK5	adp|atp|dgdp|dgtp
NDPK6	adp|atp|dudp|dutp
NDPK7	adp|atp|dcdp|dctp
NDPK8	adp|atp|dadp|datp
NDPK9	adp|atp|idp|itp
NH4OHDs	h|h2o|nh4|nh4oh
NH4t4	k|nh4
NIabc	adp|atp|h|h2o|ni2|pi
NNAM	h2o|nac|ncam|nh4
NNATr	atp|dnad|h|nicrnt|ppi
NO2t2r	h|no2
NO3R1	h|h2o|no2|no3|q8|q8h2
NO3R2	h|h2o|mql8|mqn8|no2|no3
NO3t7	no2|no3
NOPD	akg|arg-L|h|h2o|nadp|nadph|nop
NPHSr	coa|dhna|sbzcoa
NTRIRx	h|h2o|nad|nadh|nh4oh|no2
NTRIRy	h|h2o|nadp|nadph|nh4oh|no2
O2t5i	o2
OCBT	cbp|citr-L|h|orn|pi
OCTD	arg-L|h|h2o|nadp|nadph|octp|pyr
OIVD1	4mop|co2|coa|ivcoa|nad|nadh
OIVD2	3mob|co2|coa|ibcoa|nad|nadh
OIVD3	2mbcoa|3mop|co2|coa|nad|nadh
OMCDC	3c4mop|4mop|co2|h
OMPDC	co2|h|orot5p|ump
OOR2r	akg|co2|coa|fdxox|fdxrd|h|succoa
ORNCD	nh4|orn|pro-L
ORNDC	co2|h|orn|ptrc
ORNTA	akg|glu-L|glu5sa|orn
ORNTAC	acglu|acorn|glu-L|orn
ORNabc	adp|atp|h|h2o|orn|pi
ORPT	orot|orot5p|ppi|prpp
P5CD	1pyr5c|glu-L|h|h2o|nad|nadh
P5CR	1pyr5c|h|nadp|nadph|pro-L
PALASA_SA2	ala-L|cdpdag_SA|cmp|h|pala_SA2
PANTS	ala-B|amp|atp|h|pant-R|pnto-R|ppi
PAPA_SA	12dgr_SA|h2o|pa_SA|pi
PAPPT3	uagmda|udcpp|ugmda|ump
PAPSR	h|pap|paps|so3|trdox|trdrd
PASYN_SA	fa1|fa11|fa12|fa19a|fa20n|fa3|fa4|fa6|glyc3p|hdca|ocdca|pa_SA|ttdca
PC	adp|atp|h|hco3|oaa|pi|pyr
PDH	accoa|co2|coa|nad|nadh|pyr
PDHcr	dhlam|h|lpam|nad|nadh
PFK	adp|atp|f6p|fdp|h
PFK_2	adp|atp|h|tag6p-D|tagdp-D
PFLr	accoa|coa|for|pyr
PGAMT	gam1p|gam6p
PGCD	3pg|3php|h|nad|nadh
PGI	f6p|g6p
PGK	13dpg|3pg|adp|atp
PGLYCP	2pglyc|glyclt|h2o|pi
