12PPDt	12ppd-S
CRNCDH	crncoa|ctbtcoa|h2o
CRNt7	crn|gbbtn
CS	accoa|cit|coa|h|h2o|oaa
CSND	csn|h|h2o|nh4|ura
CSNt2	csn|h
CTPS2	adp|atp|ctp|gln-L|glu-L|h|h2o|pi|utp
CYANST	cyan|h|so3|tcynt|tsul
CYNTAH	co2|cynt|h|hco3|nh4
CYNTt2	cynt|h
CYSS	ac|acser|cys-L|h|h2s
CYSTL	cysth-L|h2o|hcys-L|nh4|pyr
CYSabc	adp|atp|cys-L|h|h2o|pi
CYTBD	h|h2o|o2|q8|q8h2
CYTBO3	h|h2o|o2|q8|q8h2
CYTD	cytd|h|h2o|nh4|uri
CYTDK2	cmp|cytd|gdp|gtp
CYTDt2	cytd|h
CYTDt2r	cytd|h
CYTK1	adp|atp|cdp|cmp
CYTK2	adp|atp|dcdp|dcmp
D-LACt2	h|lac-D
DAAD	ala-D|fad|fadh2|h2o|nh4|pyr
DADA	dad-2|din|h|h2o|nh4
DADK	adp|atp|dadp|damp
DADNt2	dad-2|h
DAGK_EC	12dgr_EC|adp|atp|pa_EC
DALAt2r	ala-D|h
DAPDC	26dap-M|co2|h|lys-L
DAPE	26dap-LL|26dap-M
DAPabc	26dap-M|adp|atp|h|h2o|pi
DASYN_EC	cdpdag1|ctp|pa_EC|ppi
DB4PS	db4p|for|h|ru5p-D
DBTSr	adp|atp|co2|dann|dtbt|h|pi
DCTPD	dctp|dutp|h|h2o|nh4
DCYTD	dcyt|duri|h|h2o|nh4
DCYTt2	dcyt|h
DDGALK	2dh3dgal|2dh3dgal6p|adp|atp
DDGLCNt2r	2ddglcn|h
DDGLK	2ddg6p|2ddglcn|adp|atp
DDPA	2dda7p|e4p|h|h2o|pep|pi
DDPGALA	2dh3dgal6p|g3p|pyr
DGK1	adp|atp|dgdp|dgmp
DGSNt2	dgsn|h
DHAD1	23dhmb|3mob|h2o
DHAD2	23dhmp|3mop|h2o
DHAPT	dha|dhap|pep|pyr
DHAt	dha
DHBD	23ddhb|23dhb|h|nad|nadh
DHBSr	23dhb|23dhba|atp|h|ppi
DHCIND	cenchddd|dhcinnm|h|nad|nadh
DHCINDO	dhcinnm|h|hkntd|o2
DHDPRy	23dhdp|h|nadp|nadph|thdp
DHDPS	23dhdp|aspsa|h|h2o|pyr
DHFR	dhf|h|nadp|nadph|thf
DHFS	adp|atp|dhf|dhpt|glu-L|h|pi
DHNAOT	2dmmq8|co2|dhna|h|octdp|ppi
DHNPA2	6hmhpt|dhnpt|gcald
DHORD2	dhor-S|orot|q8|q8h2
DHORD5	dhor-S|mql8|mqn8|orot
DHORTS	cbasp|dhor-S|h|h2o
DHPPD	cechddd|dhpppn|h|nad|nadh
DHPPDA2	25drapp|5apru|h|h2o|nh4
DHPS2	4abz|6hmhptpp|dhpt|ppi
DHPTDC	dhptd|h2o|hmfurn
DHQD	3dhq|3dhsk|h2o
DHQS	2dda7p|3dhq|h|pi
DINSt2	din|h
DKGLCNR1	25dkglcn|2dhguln|h|nadp|nadph
DKGLCNR2x	25dkglcn|5dglcn|h|nad|nadh
DKGLCNR2y	25dkglcn|5dglcn|h|nadp|nadph
DKMPPD	2kmb|dkmpp|for|h|h2o|o2|pi
DKMPPD2	2kmb|dkmpp|for|h|h2o|pi
DMATT	dmpp|grdp|ipdp|ppi
DMPPS	dmpp|h|h2mb4p|h2o|nad|nadh
DMQMT	2omhmbl|ahcys|amet|h|q8h2
DMSOR1	dms|dmso|h2o|mql8|mqn8
DMSOR1e	dms|dmso|h2o|mql8|mqn8
DMSOR2	2dmmq8|2dmmql8|dms|dmso|h2o
DMSOR2e	2dmmq8|2dmmql8|dms|dmso|h2o
DNMPPA	dhnpt|dhpmp|h|h2o|pi
DNTPPA	ahdt|dhpmp|h2o|ppi
DOGULNR	23doguln|3dhguln|h|nad|nadh
DPCOAK	adp|atp|coa|dpcoa
DPR	2dhp|h|nadp|nadph|pant-R
DRPA	2dr5p|acald|g3p
DSERt2r	h|ser-D
DTMPK	adp|atp|dtdp|dtmp
DURIK1	adp|atp|dump|duri
DURIPP	2dr1p|duri|h|pi|ura
DURIt2	duri|h
DUTPDP	dump|dutp|h2o|ppi
DXPRIi	2me4p|dxyl5p|h|nadp|nadph
DXPS	co2|dxyl5p|g3p|h|pyr
DXYLK	adp|atp|dxyl|dxyl5p
E4PD	4per|e4p|h|h2o|nad|nadh
ECAP_EC	eca_EC|udcpdp|unagamuf
EDA	2ddg6p|g3p|pyr
EDD	2ddg6p|6pgc|h2o
EDTXS1	ACP|ddcaACP|kdo2lipid4|kdo2lipid4L
EDTXS2	ACP|kdo2lipid4L|lipa|myrsACP
EDTXS3	ACP|hdeACP|kdo2lipid4|kdo2lipid4p
EDTXS4	ACP|kdo2lipid4p|lipa_cold|myrsACP
ENO	2pg|h2o|pep
ENTCS	23dhba|amp|enter|h|seramp
ETHAAL	acald|etha|nh4
ETOHt2r	etoh|h
F1PK	adp|atp|f1p|fdp
F6PA	dha|f6p|g3p
FAO1	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ppi|ttdca
FAO2	accoa|amp|atp|coa|fad|fadh2|h|h2o|hdca|nad|nadh|ppi
FAO3	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ocdca|ppi
FAO4	aacoa|btcoa|fad|fadh2|h|h2o|nad|nadh
FBA	dhap|fdp|g3p
FBP	f6p|fdp|h|h2o|pi
FCI	fcl-L|fuc-L
FCLK	adp|atp|fc1p|fcl-L
FCLPA	dhap|fc1p|lald-L
FCLT	fe2|h|pheme|ppp9
FDH2	co2|for|h|q8|q8h2
FDH3	co2|for|h|mql8|mqn8
FE2abc	adp|atp|fe2|h|h2o|pi
FFSD	fru|g6p|h2o|suc6p
FHL	co2|for|h|h2
FMNAT	atp|fad|fmn|ppi
FORt	for
FRD2	fum|mql8|mqn8|succ
FRD3	2dmmq8|2dmmql8|fum|succ
FRUpts	f1p|fru|pep|pyr
FRUpts2	f6p|fru|pep|pyr
FTHFD	10fthf|for|h|h2o|thf
FUCPt6_2	fuc1p-L|pi
FUCt	fuc-L|h
FUM	fum|h2o|mal-L
FUMt2_2	fum|h
FUMt2_3	fum|h
G1PACT	accoa|acgam1p|coa|gam1p|h
G1PP	g1p|glc-D|h|h2o|pi
G1PTT	dtdpglu|dttp|g1p|ppi
G1SATi	5aop|glu1sa
G3PD2	dhap|glyc3p|h|nadp|nadph
G3PD5	dhap|glyc3p|q8|q8h2
G3PD6	dhap|glyc3p|mql8|mqn8
G3PD7	2dmmq8|2dmmql8|dhap|glyc3p
G5SADs	1pyr5c|glu5sa|h|h2o
G5SD	glu5p|glu5sa|nadp|nadph|pi
G6PDA	f6p|gam6p|h2o|nh4
G6PDH2r	6pgl|g6p|h|nadp|nadph
G6Pt6_2	g6p|pi
GALCTD	5dh4dglc|galct-D|h2o
GALCTND	2dh3dgal|galctn-D|h2o
GALCTNt2r	galctn-D|h
GALCTt2r	galct-D|h
GALKr	adp|atp|gal|gal1p
GALS3	gal|glc-D|h2o|melib
GALTpts	galt|galt1p|pep|pyr
GALU	g1p|ppi|udpg|utp
GALURt2r	galur|h
GALUi	g1p|ppi|udpg|utp
GALabc	adp|atp|gal|h|h2o|pi
GALt2	gal|h
GAMpts	gam|gam6p|pep|pyr
GAPD	13dpg|g3p|nad|nadh|pi
GARFT	10fthf|fgam|gar|h|thf
GART	adp|atp|fgam|for|gar|h|pi
GCALDD	gcald|glyclt|h|h2o|nad|nadh
GDMANE	gdpddman|gdpofuc
GF6PTA	f6p|gam6p|gln-L|glu-L
GHMT2	gly|h2o|mlthf|ser-L|thf
GK1	adp|atp|gdp|gmp
