12PPDt	12ppd-S
CLPNS2_ST	clpn2_ST|glyc|pg2_ST
CMCMSAD	5cmhm|5cmhmsa|h|h2o|nad|nadh
CMPN	cmp|csn|h2o|r5p
CO1DAMAT	adcobdam|atp|co1dam|h|h2o|nad|nadh|pi|ppi
CO2DAMR	co1dam|co2dam|h|nad|nadh
CO2t	co2
COBALTt5	cobalt2
CPC2MT	ahcys|amet|copre2|copre3|h
CPC3MT	ahcys|amet|copre3|copre4
CPC4MT	ahcys|amet|copre4|copre5|h
CPC5MT	acald|ahcys|amet|copre5|copre6|h|h2o
CPC6R	codhpre6|copre6|h|nadp|nadph
CPC8MM	cobya|copre8
CPFXNt	cpfxn|h
CPFXNt2	cpfxn
CPPPGO	co2|cpppg3|h|h2o|o2|pppg9
CRNBTCT	bbtcoa|crn|crncoa|gbbtn
CRNCBCT	crn|crncoa|ctbt|ctbtcoa
CRNCDH	crncoa|ctbtcoa|h2o
CRNt7	crn|gbbtn
CS	accoa|cit|coa|h|h2o|oaa
CSND	csn|h|h2o|nh4|ura
CSNt2	csn|h
CTPS2	adp|atp|ctp|gln-L|glu-L|h|h2o|pi|utp
CUOX	cu1|cu2|h|h2o|o2
CYRDAS	adp|atp|co2dam|cobya|gln-L|glu-L|h|h2o|ppi
CYSS	ac|acser|cys-L|h2s
CYSTL	cysth-L|h2o|hcys-L|nh4|pyr
CYSTRS	amp|atp|cys-L|cystrna|ppi|trnacys
CYSabc	adp|atp|cys-L|h|h2o|pi
CYSabc2	adp|atp|cys-L|h|h2o|pi
CYTBD	h|h2o|o2|ubq8|ubq8h2
CYTBO3	h|h2o|o2|ubq8|ubq8h2
CYTD	cytd|h|h2o|nh4|uri
CYTDK2	cmp|cytd|gdp|gtp|h
CYTDt2	cytd|h
CYTK1	adp|atp|cdp|cmp
CYTK2	adp|atp|dcdp|dcmp
Clt3	cl|h
Coabc	adp|atp|cobalt2|h|h2o|pi
Cut1	adp|atp|cu2|h|h2o|pi
D-LACt2	h|lac-D
D5KGK	adp|atp|d5kg|d5kgp|h
D5KGPA	d5kgp|dhap|msa
DAAD	ala-D|fad|fadh2|h2o|nh4|pyr
DADA	dad-2|din|h|h2o|nh4
DADK	adp|atp|dadp|damp
DADNt2	dad-2|h
DAGK2_ST	12dgr2_ST|adp|atp|h|pa2_ST
DAHPS	2dda7p|e4p|h2o|pep|pi
DAPDC	26dap-M|co2|h|lys-L
DAPE	26dap-LL|26dap-M
DAPabc	26dap-M|adp|atp|h|h2o|pi
DASYN2_ST	cdpdag2_ST|ctp|h|pa2_ST|ppi
DB4PS	db4p|for|h|ru5p-D
DBTS	adp|atp|co2|dann|dtbt|h|pi
DCTPD	dctp|dutp|h|h2o|nh4
DCYSL	cys-D|h|h2o|h2s|nh4|pyr
DCYTD	dcyt|duri|h|h2o|nh4
DCYTt2	dcyt|h
DDCAt2	ddca|h
DDGALK	2dh3dgal|2dh3dgal6p|adp|atp|h
DDGLCNt2	2ddglcn|h
DDGLK	2ddg6p|2ddglcn|adp|atp|h
DDPGALA	2dh3dgal6p|g3p|pyr
DGK1	adp|atp|dgdp|dgmp
DGLCND	2ddglcn|dkdglcn|h|nad|nadh
DGSNt2	dgsn|h
DGTPH	dgsn|dgtp|h2o|pppi
DHAD1	23dhmb|3mob|h2o
DHAD2	23dhmp|3mop|h2o
DHAt	dha
DHBD	23ddhb|23dhb|h|nad|nadh
DHBSr	23dhb|23dhba|atp|h|ppi
DHDPRy	23dhdp|h|nadp|nadph|thdp
DHDPS	23dhdp|aspsa|h|h2o|pyr
DHEDAA	24dhhed|pyr|sucsal
DHFR	dhf|h|nadp|nadph|thf
DHFS	adp|atp|dhf|dhpt|glu-L|h|pi
DHNAOT	2dmmq8|co2|dhna|nad|nadh|octdp|ppi
DHNPA	2ahhmp|dhnpt|gcald
DHORD2	dhor-S|orot|ubq8|ubq8h2
DHORD5	dhor-S|mql8|mqn8|orot
DHORTS	cbasp|dhor-S|h|h2o
DHPDO	34dhpha|5cmhmsa|h|o2
DHPPDA2	25dhpp|5apru|h|h2o|nh4
DHPS3	2ahhmd|4abz|dhpt|ppi
DHPTDC	dhptd|h2o|hmfurn
DHQD1	3dhq|3dhsk|h2o
DHQS	2dda7p|3dhq|pi
DINSt2	din|h
DIPEPabc1	adp|ala-L-asp-L|atp|h|h2o|pi
DIPEPabc10	adp|atp|gly-glu-L|h|h2o|pi
DIPEPabc11	adp|atp|gly-met-L|h|h2o|pi
DIPEPabc12	adp|atp|h|h2o|met-L-ala-L|pi
DIPEPabc13	adp|atp|gly-asp-L|h|h2o|pi
DIPEPabc14	adp|atp|gly-pro-L|h|h2o|pi
DIPEPabc15	adp|atp|cgly|h|h2o|pi
DIPEPabc2	adp|ala-L-gln-L|atp|h|h2o|pi
DIPEPabc3	adp|ala-L-glu-L|atp|h|h2o|pi
DIPEPabc4	L-alagly|adp|atp|h|h2o|pi
DIPEPabc5	adp|ala-L-his-L|atp|h|h2o|pi
DIPEPabc6	adp|ala-L-leu-L|atp|h|h2o|pi
DIPEPabc7	adp|ala-L-Thr-L|atp|h|h2o|pi
DIPEPabc8	adp|atp|gly-asn-L|h|h2o|pi
DIPEPabc9	adp|atp|gly-gln-L|h|h2o|pi
DKDID	d5kg|dkdi|h|h2o
