+-BORNEOL-DEHYDROGENASE-RXN.c	CPD-1903|CPD-862|NAD|NADH|PROTON
RXN-12588.d	CYS|L-ALPHA-ALANINE|PROTON|Sulfurated-Sulfur-Acceptors|Unsulfurated-Sulfur-Acceptors
RXN-12590.c	AMMONIUM|GAP|PROTON|PYRIDOXAL_PHOSPHATE|Pi|RIBOSE-5P|WATER
RXN-12591.c	CPD-13455|CPD-8910
RXN-12593.c	CPD-11534|ENT-COPALYL-DIPHOSPHATE|PPI
RXN-12597.c	CPD-13539|CPD-13541|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12598.c	CPD-13540|CPD-13541|NADP|NADPH|OXYGEN-MOLECULE|WATER
RXN-12599.c	CPD-13539|CPD1F-128|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12600.c	CPD-13542|CPD-13544|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12601.c	CPD-13543|CPD-13544|NADP|NADPH|OXYGEN-MOLECULE|WATER
RXN-12602.c	CPD-11534|CPD-13542|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12605.c	CPD-13573|CPD-13627|NADP|NADPH|OXYGEN-MOLECULE|WATER
RXN-12606.c	CPD-13570|CPD-13573
RXN-12607.c	CPD-13571|CPD-13573
RXN-12608.c	Acceptor|CPD-13572|CPD-13573|Donor-H2
RXN-12610.c	AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP|CARBON-DIOXIDE|PPI|PROTON|THIAMINE-P
RXN-12610.d	AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP|CARBON-DIOXIDE|PPI|PROTON|THIAMINE-P
RXN-12611.c	AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP|CARBON-DIOXIDE|PPI|PROTON|THIAMINE-P
RXN-12611.d	AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP|CARBON-DIOXIDE|PPI|PROTON|THIAMINE-P
RXN-12613.c	AMMONIUM|HMP|WATER
RXN-12615.c	Alcohols|OXYGEN-MOLECULE|PROTON|SUPER-OXIDE|WATER
RXN-12616.c	5734-TETRAHYDROXYFLAVONE|574-TRIHYDROXY-3-METHOXYFLAVONE|ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
RXN-12623.c	CHITOBIOSE|Chitodextrins|WATER
RXN-12624.c	Chitodextrins|WATER
RXN-12625.c	CHITOBIOSE|WATER
RXN-12626.c	CHITOBIOSE|WATER
RXN-12632.c	AMMONIUM|CPD-13604|CPD-13605|PYRUVATE|WATER
RXN-12633.c	CPD-13605|CPD-13606
RXN-12639.c	CO-A|ETOH
RXN-12639.r	CO-A|ETOH
RXN-12641.c	DEHYDROSPHINGANINE|DIHYDRO-SPHINGOSINE|NAD|NADH|PROTON
RXN-12641.r	DEHYDROSPHINGANINE|DIHYDRO-SPHINGOSINE|NAD|NADH|PROTON
RXN-12642.c	NADP|NADPH|PROTON
RXN-12642.r	NADP|NADPH|PROTON
RXN-12644.c	DEHYDROSPHINGANINE|NADP|NADPH|PROTON
RXN-12644.r	DEHYDROSPHINGANINE|NADP|NADPH|PROTON
RXN-12645.c	DEHYDROSPHINGANINE|NADP|NADPH|PROTON
RXN-12645.r	DEHYDROSPHINGANINE|NADP|NADPH|PROTON
RXN-12646.c	CPD-13614|CPD-4211|PPI|WATER
RXN-12647.c	E-|Oxidized-Plastocyanins|Plastocyanin-Reduced
RXN-12648.c	E-|PLASTOQUINOL-1|PLASTOQUINONE|PROTON
RXN-12656.c	CPD-12759|CPD-13626|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12657.c	CPD-13626|CPD-13627|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12659.c	CPD-13636|HYDROGEN-PEROXIDE|LINOLEIC_ACID|PROTON|Vernolates
RXN-12667.c	CPD-13644|L-ORNITHINE
RXN-12668.c	CARBON-DIOXIDE|CO-A|CPD-13647|CPD0-2106|P-COUMAROYL-COA|WATER
RXN-12669.c	CPD-196|CPD0-2108|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE
RXN-12669.x	CPD-196|CPD0-2108|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE
RXN-12670.c	CPD0-2106|CPD0-2108|NAD|NADH|PROTON|WATER
RXN-12676.c	CO-A|CPD-9445|PPI|WATER
RXN-12677.c	CPD-13661|CPD-729
RXN-12678.c	CO-A|CPD-13655|CPD-13661
RXN-12681.c	CPD-6948|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12682.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12683.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12686.c	CPD-7062|CPD-8178|PHYTOL|PROTON|WATER
RXN-12693.c	CHOLESTEROL|NAD|NADH|PROTON
RXN-12695.c	CO-A|CPD-13683|CPD-13685|MALONYL-COA
RXN-12696.c	CPD-13683|CPD-8131|PROTON|UDP|UDP-GLUCOSE
RXN-12697.c	CO-A|CPD-13686|CPD-13687|MALONYL-COA
RXN-12698.c	CPD-13686|NAPHTHOL|PROTON|UDP|UDP-GLUCOSE
RXN-12699.c	CO-A|CPD-11641|CPD-13688|MALONYL-COA
RXN-12702.c	AMP|ATP|CO-A|PPI|PROTON
RXN-12705.c	NAD|NADH|PROTON
RXN-12709.c	NAD|NADH|PROTON
RXN-12710.c	ACETYL-COA|CO-A
RXN-12710.m	ACETYL-COA|CO-A
RXN-12710.x	ACETYL-COA|CO-A
RXN-12720.c	ATP|CPD-13713|PPI|PROTON|SELENATE
RXN-12720.d	ATP|CPD-13713|PPI|PROTON|SELENATE
RXN-12721.c	AMP|CPD-13713|GLUTATHIONE|OXIDIZED-GLUTATHIONE|PROTON|SELENITE
RXN-12726.c	ACET|ACETYLSERINE|CPD-678|L-SELENOCYSTEINE|PROTON
RXN-12726.d	ACET|ACETYLSERINE|CPD-678|L-SELENOCYSTEINE|PROTON
RXN-12728.c	CPD-13717|L-SELENOCYSTEINE|O-PHOSPHO-L-HOMOSERINE|PROTON|Pi
RXN-12729.c	AMMONIUM|CPD-13717|PROTON|PYRUVATE|SELENOHOMOCYSTEINE|WATER
RXN-12729.d	AMMONIUM|CPD-13717|PROTON|PYRUVATE|SELENOHOMOCYSTEINE|WATER
RXN-12730.c	CPD-1301|CPD-1302|PROTON|SELENOHOMOCYSTEINE|SELENOMETHIONINE
RXN-12731.c	CARBON-DIOXIDE|CPD-12025|CPD-13719|PROTON
RXN-12732.c	AMMONIUM|CPD-13719|CPD-13720|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|WATER
RXN-12733.c	CPD-13720|CPD-13770
RXN-12746.c	AMP|ATP|CO-A|PPI
RXN-12747.c	NADP|NADPH|PROTON
RXN-12750.c	NAD|NADH|PROTON
RXN-12755.c	5Z8Z11Z14Z17Z-EICOSAPENTAENOATE|ARACHIDONIC_ACID|Acceptor|Donor-H2|OXYGEN-MOLECULE|WATER
RXN-12762.c	ACRYLATE|CPD-12005|CPD-13770|PROTON
RXN-12777.c	CARBON-DIOXIDE|CO-A|CPD-14404|GAMMA-LINOLENOYL-COA|MALONYL-COA|PROTON
RXN-12777.r	CARBON-DIOXIDE|CO-A|CPD-14404|GAMMA-LINOLENOYL-COA|MALONYL-COA|PROTON
RXN-12789.c	CPD-4143|NAD|NADH|PROTON
RXN-12797.c	Acceptor|CPD-10244|CPD-13792|Donor-H2|OXYGEN-MOLECULE|WATER
RXN-12799.c	CPD-8691|CPD-8693|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12828.c	Acceptor|CPD-4721|CPD-4741|Donor-H2|OXYGEN-MOLECULE|WATER
RXN-12838.c	CPD-13875|FARNESYL-PP|PPI
RXN-12861.c	CPD-13907|CPD-334|PROTON
RXN-12862.c	CPD-13907|L-DEHYDRO-ASCORBATE|WATER
RXN-12864.c	CPD-13908|GLUTATHIONE|OXIDIZED-GLUTATHIONE|PROTON|SELENITE|WATER
RXN-12865.c	CPD-13908|CPD-13909|GLUTATHIONE|NADP|NADPH
RXN-12867.c	CPD-13909|CPD-678|GLUTATHIONE|NADP|NADPH|PROTON
RXN-12869.c	CPD-13914|L-DEHYDRO-ASCORBATE|OXYGEN-MOLECULE|PROTON
RXN-12870.c	CPD-13913|CPD-334
RXN-12871.c	CPD-13912|CPD-13913|PROTON|WATER
RXN-12872.c	CPD-13910|CPD-13914
RXN-12873.c	CPD-13910|CPD-13911|PROTON|WATER
RXN-12874.c	CPD-13911|L-THREONATE|OXALATE|PROTON|WATER
RXN-12875.c	L-THREONATE|TARTRATE
RXN-12876.c	ASCORBATE|Cytochromes-C-Oxidized|Cytochromes-C-Reduced|L-DEHYDRO-ASCORBATE|PROTON
RXN-12878.c	2-KETOGLUTARATE|AMMONIUM|GLT|Oxidized-ferredoxins|PROTON|Reduced-ferredoxins|WATER
RXN-12885.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12893.c	AMMONIUM|CARBON-DIOXIDE|CPD-69|HCO3|PROTON
RXN-12954.c	ACETYL-COA|CO-A|COUMARYL-ALCOHOL|CPD-12215
RXN-12963.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-14010|OXYGEN-MOLECULE|P-COUMAROYL-COA|SUC
RXN-12965.c	CO-A|CPD-14010|CPD-8186
RXN-12968.c	CPD-14404|CPD-14405|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
RXN-12969.c	CPD-14405|CPD-14406|WATER
RXN-12971.c	CPD-14406|CPD-14407|NAD|NADH|PROTON
RXN-12973.c	ACP|CPD-8120|PROTON|WATER
RXN-12973.d	ACP|CPD-8120|PROTON|WATER
RXN-12978.c	5Z8Z11Z14Z17Z-EICOSAPENTAENOATE|AMP|ATP|CO-A|CPD-14018|PPI
RXN-12980.c	CPD-4261|GERANYL-PP|PPI|WATER
RXN-12990.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-12991.c	CARBON-DIOXIDE|CPDQT-262|PROTON|WATER
RXN-12994.c	NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
RXN-12994.d	NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
RXN-13002.c	CPD-14038|GERANYL-PP
RXN-13003.c	CPDQT-256|NADP|NADPH|OXYGEN-MOLECULE|WATER
RXN-13004.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13005.c	CARBON-DIOXIDE|CPDQT-350|PROTON|WATER
RXN-13008.c	NADP|NADPH|PROTON
RXN-13008.d	NADP|NADPH|PROTON
RXN-13011.c	ACP|CPD-13792|WATER
RXN-13011.d	ACP|CPD-13792|WATER
RXN-13014.c	HOMOMETHIONINE|NADP|NADPH|OXYGEN-MOLECULE|WATER
RXN-13015.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13016.c	3-METHYLTHIOPROPANALDOXIME|CARBON-DIOXIDE|PROTON|WATER
RXN-13027.c	CPDQT-277|NADP|NADPH|OXYGEN-MOLECULE|WATER
RXN-13037.c	ACP|Octanoyl-ACPs|PROTON
RXN-13046.c	CPD-1903|CPD-215|PPI|WATER
RXN-13047.c	CPD-14038|CPD-1908|PPI|WATER
RXN-13057.c	CPD-14074|NADP|NADPH|NIACINE|PROTON
RXN-13058.c	CARBON-DIOXIDE|CPD-14074|CPD-14075|PROTON
RXN-13059.c	CPD-14075|CPD-14076|CPD-7994|PROTON
RXN-13060.c	CPD-14076|NADP|NADPH|NICOTINE|PROTON
RXN-13061.c	DOPAQUINONE|L-DIHYDROXY-PHENYLALANINE|OXYGEN-MOLECULE|WATER
RXN-13064.c	MANNOSE|OXYGEN-MOLECULE|Oxidized-Flavoproteins|Reduced-Flavoproteins|WATER
RXN-13158.c	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE|2K-4CH3-PENTANOATE|CARBON-DIOXIDE|NAD|NADH
RXN-13162.c	FARNESYL-PP|NAD-P-OR-NOP|NADH-P-OR-NOP|PPI|PROTON|SQUALENE
RXN-13163.c	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE|3-CARBOXY-3-HYDROXY-ISOCAPROATE
RXN-13163.d	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE|3-CARBOXY-3-HYDROXY-ISOCAPROATE
RXN-13183.c	CPD-330|Cytochromes-C-Oxidized|Cytochromes-C-Reduced|L-DEHYDRO-ASCORBATE|PROTON
RXN-13185.c	ASCORBATE|CPD1F-130|CPD1F-133|L-DEHYDRO-ASCORBATE|PROTON|WATER
RXN-13186.c	2-KETOGLUTARATE|CARBON-DIOXIDE|FORMALDEHYDE|OXYGEN-MOLECULE|PROTON|SUC
RXN-13187.c	CARBON-DIOXIDE|CPD-1041|NADP|NADPH|OXYGEN-MOLECULE|PROTON|TYR|WATER
RXN-13188.c	NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
RXN-13189.c	CPD1F-132|CPD1F-95|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13190.c	CPD1F-128|CPD1F-132|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13191.c	DIVINYL-PROTOCHLOROPHYLLIDE-A|MG-PROTOPORPHYRIN-MONOMETHYL-ESTER|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13192.c	FLAVANONES|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13193.c	CPD1F-130|CPD1F-133|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
RXN-13197.c	ADP|ATP|CPD-1107|INOSITOL-1-4-5-TRISPHOSPHATE|PROTON
RXN-13198.c	CPD-665|NAD|NADH|PROPANOL|PROTON
RXN-13202.c	ADP|AMMONIUM|ATP|CARBAMOYL-P|HCO3|PROTON|Pi
RXN-13202.d	ADP|AMMONIUM|ATP|CARBAMOYL-P|HCO3|PROTON|Pi
RXN-1321.c	CPD-725|LINOLENIC_ACID|OXYGEN-MOLECULE
RXN-1321.d	CPD-725|LINOLENIC_ACID|OXYGEN-MOLECULE
RXN-13243.c	CARBON-DIOXIDE|HYDROGEN-PEROXIDE|Long-Chain-Fatty-Acids|PROTON|Terminal-Olefins|WATER
RXN-13247.c	3-KETOACYL-COA|CO-A|CPD-12642|PROTON|WATER
RXN-13248.c	CARBON-DIOXIDE|CPD-12642|PROTON
RXN-13260.c	ACP|CARBON-DIOXIDE|CO-A|Long-Chain-Acyl-ACPs|MALONYL-COA|Terminal-Olefins
RXN-13273.c	CO-A|Long-Chain-Aldehydes|NAD|NADH|PROTON
RXN-13281.c	Alkanes|CARBON-MONOXIDE|Long-Chain-Aldehydes
RXN-13282.c	ADENOSYL-HOMO-CYS|CPD-10662|PROTON|S-ADENOSYLMETHIONINE
RXN-13283.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
RXN-13284.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE|SQUALENE
RXN-13285.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
RXN-13290.c	AMP|ATP|CO-A|PPI
RXN-13291.c	CPD-10662|CPD-465|NADP|NADPH|PPI|PROTON
RXN-13294.c	CARBON-DIOXIDE|CO-A|CPD-14271|MALONYL-COA|PROTON|STEAROYL-COA
RXN-13295.c	CARBON-DIOXIDE|CO-A|CPD-10283|CPD-9965|MALONYL-COA|PROTON
RXN-13296.c	CARBON-DIOXIDE|CO-A|CPD-10280|CPD-14274|MALONYL-COA|PROTON
RXN-13297.c	CARBON-DIOXIDE|CO-A|CPD-10279|CPD-14273|MALONYL-COA|PROTON
RXN-13298.c	CPD-14271|CPD-14275|NADP|NADPH|PROTON
RXN-13299.c	CPD-10283|CPD-14276|NADP|NADPH|PROTON
RXN-13300.c	CPD-14273|CPD-14277|NADP|NADPH|PROTON
RXN-13301.c	CPD-14274|CPD-14278|NADP|NADPH|PROTON
RXN-13302.c	CPD-14275|CPD-14280|WATER
RXN-13302.r	CPD-14275|CPD-14280|WATER
RXN-13303.c	CPD-14276|CPD-14281|WATER
RXN-13303.r	CPD-14276|CPD-14281|WATER
RXN-13304.c	CPD-14277|CPD-14282|WATER
RXN-13304.r	CPD-14277|CPD-14282|WATER
RXN-13305.c	CPD-14278|CPD-14283|WATER
RXN-13305.r	CPD-14278|CPD-14283|WATER
RXN-13306.c	CPD-14280|CPD-9965|NADP|NADPH|PROTON
RXN-13307.c	CPD-10279|CPD-14281|NADP|NADPH|PROTON
RXN-13308.c	CPD-10280|CPD-14282|NADP|NADPH|PROTON
RXN-13309.c	CPD-14283|CPD1G-277|NADP|NADPH|PROTON
RXN-13310.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
RXN-13311.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
RXN-13322.c	CARBON-DIOXIDE|CO-A|MALONYL-COA|OLEOYL-COA|PROTON
RXN-13323.c	CPD-12321|CPD0-1028|PPI
RXN-13333.c	DIACYLGLYCEROL|INOSITOL-1-4-5-TRISPHOSPHATE|PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA|PROTON|WATER
RXN-13334.c	CPD-1108|DIACYLGLYCEROL|INOSITOL-1-4-BISPHOSPHATE|PROTON|WATER
RXN-13336.c	ADP|ATP|DIACYLGLYCEROL-PYROPHOSPHATE|L-PHOSPHATIDATE
RXN-13373.c	CPD-14342|FARNESYL-PP|PPI
RXN-13398.c	CHLOROPHYLLIDE-A|CPD-7014|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13403.c	ADENOSYL-HOMO-CYS|DIHYDROSIROHYDROCHLORIN|PROTON|S-ADENOSYLMETHIONINE|UROPORPHYRINOGEN-III
RXN-13408.c	MAL|NAD|NADH|OXALACETIC_ACID|PROTON
RXN-13408.d	MAL|NAD|NADH|OXALACETIC_ACID|PROTON
RXN-13414.c	NAD|NADH|PROTON|SPERMIDINE
RXN-13415.c	CPD-313|PROTON
RXN-13416.c	EIF5A-LYSINE
RXN-13417.c	CPD-9973|NAD|NADH|PROTON
RXN-13420.c	Acceptor|CPD1F-129|Donor-H2|OXYGEN-MOLECULE|WATER
RXN-13421.c	WATER
RXN-13422.c	Acceptor|Donor-H2
RXN-13430.c	5Z8Z11Z14Z17Z-EICOSAPENTAENOATE|CO-A|CPD-14018|PROTON|WATER
RXN-13433.c	CPD-8909|CPD-8912|NAD|NADH|PROTON
RXN-13435.c	CO-A|CPD-14407|CPD-8120|PROTON|WATER
RXN-13442.c	CARBON-DIOXIDE|CO-A|CPD-14018|CPD-14423|MALONYL-COA|PROTON
RXN-13443.c	CPD-14423|CPD-14424|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
RXN-13443.d	CPD-14423|CPD-14424|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
RXN-13444.c	CPD-14424|CPD-14425|WATER
RXN-13445.c	CPD-14425|CPD-14426|PROTON
RXN-13446.c	CO-A|CPD-13792|CPD-14426|PROTON|WATER
RXN-13448.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
RXN-13449.c	ETF-Oxidized|ETF-Reduced
RXN-1345.c	12-OXO-CIS-9-DODECENOATE|CIS-3-HEXENAL|CPD-725
RXN-1345.d	12-OXO-CIS-9-DODECENOATE|CIS-3-HEXENAL|CPD-725
RXN-13450.c	PROTON|UDP|UDP-GLUCOSE
RXN-13451.c	ETF-Oxidized|ETF-Reduced
RXN-13452.c	PROTON|UDP|UDP-GLUCOSE
RXN-13453.c	GLC|WATER
RXN-13454.c	GLC|WATER
RXN-1346.c	CIS-3-HEXENAL|TRANS-2-HEXENAL
RXN-13464.c	CPD-8097|GLC|WATER
RXN-13466.c	CPD-8097|PROTON|UDP|UDP-GLUCOSE
RXN-1347.c	CIS-3-HEXENAL|CIS-3-HEXENOL|NAD|NADH|PROTON
RXN-13470.c	CPD-8097|GLC|WATER
RXN-13471.c	CPD-8097|PROTON|UDP|UDP-GLUCOSE
RXN-13472.c	CPD-8097|PROTON|UDP|UDP-GLUCOSE
RXN-13473.c	ADENOSYL-HOMO-CYS|CPD-8097|PROTON|S-ADENOSYLMETHIONINE|SCOPOLETIN
RXN-13474.c	ADENOSYL-HOMO-CYS|CPD-8097|PROTON|S-ADENOSYLMETHIONINE
RXN-13475.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
RXN-13482.c	CARBAMOYL-P|L-CITRULLINE|L-ORNITHINE|PROTON|Pi
RXN-13482.d	CARBAMOYL-P|L-CITRULLINE|L-ORNITHINE|PROTON|Pi
RXN-13484.c	PHE
RXN-13485.c	AMP|ATP|CO-A|CPD-9207|PPI|PROTON
RXN-13486.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13487.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13488.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13489.c	CPD-6948|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-1349.c	12-OXO-CIS-9-DODECENOATE|12-OXO-TRANS-10-DODECENOATE
RXN-13491.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13492.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13493.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13494.c	NADP|NADPH|OXYGEN-MOLECULE|WATER
RXN-13497.c	CPD-90|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13498.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13499.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13500.c	CPD-8250|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13501.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13502.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13503.c	CPD-6948|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13504.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13505.c	CPD-9459|NADP|NADPH|OXYGEN-MOLECULE|WATER
RXN-13510.c	CPD1F-132|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13511.c	PROTON|UDP|UDP-GLUCOSE
RXN-13512.c	PROTON|UDP|UDP-GLUCOSE
RXN-13513.c	PROTON|UDP|UDP-GLUCOSE
RXN-13514.c	PROTON|UDP|UDP-GLUCOSE
RXN-13515.c	PROTON|UDP|UDP-GLUCOSE
RXN-13516.c	PROTON|UDP|UDP-GLUCOSE
RXN-13517.c	PROTON|UDP|UDP-GLUCOSE
RXN-13518.c	PROTON|UDP|UDP-GLUCOSE
RXN-13519.ce	PROTON
RXN-13520.c	PROTON|UDP|UDP-GLUCOSE
RXN-13521.c	PROTON|UDP|UDP-GLUCOSE
RXN-13522.c	FARNESYL-PP|PPI
RXN-13523.c	CPD-9422|CPD-9423|L-ALPHA-ALANINE|PROTON|PYRUVATE
RXN-13524.c	Acceptor|CPD-9424|Donor-H2|OXYGEN-MOLECULE|PROTON|WATER
RXN-13525.c	Acceptor|CPD-9424|Donor-H2|OXYGEN-MOLECULE|WATER
RXN-13526.c	PROTON
RXN-13527.c	PROTON
RXN-13536.c	CPD-7035|NADP|NADPH|PHENYLACETALDEHYDE|PROTON
RXN-13537.c	AMMONIUM|HYDROGEN-PEROXIDE|PHENYLACETALDEHYDE|PHENYLACETALDOXIME|PROTON|WATER
RXN-13540.c	CPD-7035|PROTON|UDP|UDP-GLUCOSE
RXN-13541.c	CPD-7035|GLC|WATER
RXN-13542.c	ACETYL-COA|CO-A|CPD-7035
RXN-13543.c	ACET|CPD-7035|PROTON|WATER
RXN-13549.c	3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN
RXN-13556.c	CPD-9788|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13557.c	CPD-9787|FORMATE|WATER
RXN-13564.c	ARG|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13565.c	L-CITRULLINE|NADP|NADPH|NITRIC-OXIDE|OXYGEN-MOLECULE|PROTON|WATER
RXN-13587.c	CPD-9775|CPD-9777|NADP|NADPH|PROTON
RXN-13598.c	PROTON|UDP|UDP-GLUCOSE
RXN-13600.c	4-HYDROXYBENZALDEHYDE|GLC|HCN|WATER
RXN-13600.r	4-HYDROXYBENZALDEHYDE|GLC|HCN|WATER
RXN-13602.c	GLC|LINAMARIN|WATER
RXN-13602.r	GLC|LINAMARIN|WATER
RXN-13603.c	CPD-10277|GLC|WATER
RXN-13603.r	CPD-10277|GLC|WATER
RXN-13607.c	UDP|UDP-GLUCURONATE
RXN-13608.c	PROTON|UDP|UDP-GLUCURONATE
RXN-13612.c	CO-A|CPD-7165|PROTON
RXN-13614.c	AMP|ATP|CO-A|CPD-10267|CPD-3617|PPI
RXN-13615.c	CPD-10267|ETF-Oxidized|ETF-Reduced
RXN-13616.c	WATER
RXN-13616.r	WATER
RXN-13617.c	ACETYL-COA|CO-A|CPD-196
RXN-13617.m	ACETYL-COA|CO-A|CPD-196
RXN-13617.x	ACETYL-COA|CO-A|CPD-196
RXN-13622.c	CPD-1074|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
RXN-13641.c	CPD1F-129
RXN-13641.d	CPD1F-129
RXN-13642.c	CPD-7204|OXYGEN-MOLECULE
RXN-13643.c	OXYGEN-MOLECULE
RXN-13644.c	Acceptor|Donor-H2|OXYGEN-MOLECULE|PROTON
RXN-13645.c	Acceptor|Donor-H2|PROTON
RXN-13646.c	2-HYDROXY-2-METHYLPROPANENITRILE|WATER
RXN-13647.c	CPD-12111|DICOUMAROL|FORMALDEHYDE|WATER
RXN-13662.c	CARBON-DIOXIDE|CO-A|HEXANOYL-COA|MALONYL-COA|PROTON
RXN-13663.c	CARBON-DIOXIDE|CO-A|MALONYL-COA|PROTON
RXN-13664.c	CO-A|CPD-11507|PROTON
RXN-13665.c	CO-A|CPD-11506|PROTON
RXN-13666.c	CARBON-DIOXIDE|CO-A|CPD-11505
RXN-13671.c	CO-A|CPD-7000|ISOBUTYRYL-COA|NAD|NADH|PROTON
RXN-13672.c	CPD-6483|CPD-9004|WATER
RXN-13672.d	CPD-6483|CPD-9004|WATER
RXN-13673.c	GLUTATHIONE
RXN-13673.d	GLUTATHIONE
RXN-13675.c	GLT|WATER
RXN-13677.c	GLY|WATER
RXN-13677.d	GLY|WATER
RXN-13681.c	HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|PROTON|WATER
RXN-13682.c	Acceptor|Donor-H2
RXN-13689.c	ASCORBATE|HYDROGEN-PEROXIDE|L-GULONO-1-4-LACTONE|OXYGEN-MOLECULE|PROTON
RXN-13691.c	GERANIOL|WATER
RXN-13692.c	WATER
RXN-13693.c	BENZYL-ALCOHOL|WATER
RXN-13694.c	CPD-7035|WATER
RXN-13695.c	CPD-6481|WATER
RXN-13696.c	BENZYL-ALCOHOL|CPD-9004|WATER
RXN-13697.c	2-KETOGLUTARATE|GLT|L-ASPARTATE|OXALACETIC_ACID
RXN-13697.d	2-KETOGLUTARATE|GLT|L-ASPARTATE|OXALACETIC_ACID
RXN-13697.m	2-KETOGLUTARATE|GLT|L-ASPARTATE|OXALACETIC_ACID
RXN-13698.c	2-KETOGLUTARATE|GLT|L-ALPHA-ALANINE|PYRUVATE
