R01175N_x	C00007_x|C00027_x|C00136_x|C00877_x
R01177_x	C00010_x|C00024_x|C00136_x|C05269_x
R01184_c	C00001_c|C00007_c|C00137_c|C00191_c
R01185_c	C00001_c|C00009_c|C00137_c|C01177_c
R01186_c	C00001_c|C00009_c|C00137_c|C03546_c
R01187_c	C00001_c|C00009_c|C00137_c|C04006_c
R01194_c	C00001_c|C00124_c|C00137_c|C01235_c
R01195_p	C00005_p|C00006_p|C00080_p|C00138_p|C00139_p
R01197_m	C00010_m|C00011_m|C00026_m|C00091_m|C00138_m|C00139_m
R01209_c	C00001_c|C00141_c|C04039_c
R01213_c	C00001_c|C00010_c|C00024_c|C00141_c|C02504_c
R01214_c	C00025_c|C00026_c|C00141_c|C00183_c
R01220_c	C00005_c|C00006_c|C00080_c|C00143_c|C00445_c
R01221_c	C00003_c|C00004_c|C00011_c|C00014_c|C00037_c|C00080_c|C00101_c|C00143_c
R01221_m	C00003_m|C00004_m|C00011_m|C00014_m|C00037_m|C00080_m|C00101_m|C00143_m
R01222_c	C00016_c|C00143_c|C00440_c|C01352_c
R01224_c	C00005_c|C00006_c|C00080_c|C00143_c|C00440_c
R01226_c	C00001_c|C00101_c|C00141_c|C00143_c|C00966_c
R01227_c	C00001_c|C00009_c|C00144_c|C00387_c
R01229_c	C00013_c|C00119_c|C00144_c|C00242_c
R01230_c	C00002_c|C00013_c|C00014_c|C00020_c|C00144_c|C00655_c
R01231_c	C00001_c|C00002_c|C00013_c|C00020_c|C00025_c|C00064_c|C00144_c|C00655_c
R01232_c	C00001_c|C00044_c|C00144_c|C01261_c
R01234_c	C00001_c|C00144_c|C00942_c
R01237_c	C00001_c|C00145_c|C02085_c|C11477_c
R01244_c	C00001_c|C00014_c|C00147_c|C00262_c
R01245_c	C00001_c|C00121_c|C00147_c|C00212_c
R01248_c	C00003_c|C00004_c|C00080_c|C00148_c|C03912_c
R01251_c	C00005_c|C00006_c|C00080_c|C00148_c|C03912_c
R01252_c	C00007_c|C00011_c|C00026_c|C00042_c|C00148_c|C01157_c
R01262_c	C00051_c|C00151_c|C01419_c|C03740_c
R01279_x	C00007_x|C00027_x|C00154_x|C05272_x
R01280_x	C00002_x|C00010_x|C00013_x|C00020_x|C00154_x|C00249_x
R01281_c	C00010_c|C00011_c|C00065_c|C00154_c|C02934_c
R01286_c	C00001_c|C00014_c|C00022_c|C00155_c|C02291_c
R01287_c	C00033_c|C00155_c|C00283_c|C01077_c
R01288_c	C00042_c|C00155_c|C00297_c|C01118_c
R01290_c	C00001_c|C00065_c|C00155_c|C02291_c
R01303_c	C00001_c|C00007_c|C00028_c|C00030_c|C00156_c|C00633_c
R01310_c	C00001_c|C00114_c|C00157_c|C00416_c
R01312_c	C00001_c|C00008_c|C00157_c|C00588_c|C00641_c
R01318_c	C00010_c|C00040_c|C00157_c|C04230_c
R01321_c	C00055_c|C00157_c|C00307_c|C00641_c
R01324_c	C00158_c|C00311_c
