2PGK	23dpg|2pg|adp|atp|h
DHAD2	23dhmp|3mop|h2o
DHDPRy	23dhdp|h|nadp|nadph|thdp
DHDPS	23dhdp|aspsa|h|h2o|pyr
DHFR	dhf|h|nadp|nadph|thf
DHFS	adp|atp|dhf|dhpt|glu-L|h|pi
DHNPA2	6hmhpt|dhnpt|gcald
DHORD7	dhor-S|f420-2|f420-2h2|orot
DHORTS	cbasp|dhor-S|h|h2o
DHPCPH	dhp23cp|dhpmp|h|h2o
DHPM1	56dura|cala|h|h2o
DHPM2	3uib|56dthm|h|h2o
DHPS2	4abz|6hmhptpp|dhpt|ppi
DHPS3	6hmhptpp|Brfap|dhrfap|ppi
DHQD	3dhq|3dhsk|h2o
DHQS2	3dhq|dohdu
DIPS	ahcys|amet|caphis|cmaphis|h
DKFPR	dkfp|dkmp|h|nad|nadh
DKFPS	dkdofp|dkfp|h|nad|nadh
DKMPASPL	aspsa|dkmp|dohau|g3p
DMAMT	com|dma|mcom|mma
DMATT	dmpp|grdp|ipdp|ppi
DMATT2	3hgrdp|ipdp|m3hdp|ppi
DMAt	dma|h
DMHDRFS	34hpp|4r5au|ddhrb|h|h2o|nadp|nadph|nh4|oxa
DMSt	dms
DNMPPA	dhnpt|dhpmp|h2o|pi
DOHDUS	dohau|dohdu|h|h2o|nad|nadh|nh4
DPCOAK	adp|atp|coa|dpcoa|h
DPGase	23dpg|3pg|h2o|pi
DPMVD	5dpmev|adp|atp|co2|ipdp|pi
DPMVD2	5dpmev|co2|h|m3hdp
DPR	2dhp|h|nadp|nadph|pant-R
DROPPRx	25dhpp|25dthpp|h|nad|nadh
DROPPRy	25dhpp|25dthpp|h|nadp|nadph
DRTPPD	25dthpp|5aprbu|h|h2o|nh4
DTMPK	adp|atp|dtdp|dtmp
DURIPP	2dr1p|duri|pi|ura
ECHH	fdox|fdred|h|h2
ENO	2pg|h2o|pep
ETHAt6	etha|h
F430S1	adp|atp|dscl|f430p1|gln-L|glu-L|h|h2o|ni2|pi
F430S2	f430p1|f430p2|h|nad|nadh
F430S3	f430p2|f430p3|h|nad|nadh
F430S4	f430p3|sf430a
F430S5	f430|h|h2o|sf430a
F4D	f420-2|f420-2h2|h|mphen|mphenh2
F4H2O	f420-2|f420-2h2|h2o|o2
F4MTSPD	f420-2|f420-2h2|h|menylh4spt|mleneh4spt
F4MTSPR	f420-2|f420-2h2|mh4spt|mleneh4spt
F4NH	h|h2|mphen|mphenh2
F4NPR	f420-2|f420-2h2|h|nadp|nadph
F4RHi	f420-2|f420-2h2|h2
FBA	dhap|fdp|g3p
FBA2	dhap|f1p|glyald
FBP	f6p|fdp|h2o|pi
FBPO	4kfbp|fdp|h|nad|nadh
FCLPA	dhap|fc1p|lald-L
FDH	co2|for|nad|nadh
FE2abc	adp|atp|fe2|h|h2o|pi
FE3abc	adp|atp|fe3|h|h2o|pi
FEDCabc	adp|atp|cit|fe3|h|h2o|pi
FMETTRS	10fthf|fmettrna|h|mettrna|thf
FMFD(b)	co2|fdox|fdred|formmfr_b|h|h2o|mfr_b
